98,-1,-1,1,T
99,-1,-1,1,H
85,-1,-1,1,E
131,-1,-1,1, 
80,-1,-1,1,R
96,-1,-1,1,A
85,-1,-1,1,G
79,-1,-1,1,D
78,-1,-1,1,Y
91,-1,-1,1,O
82,-1,-1,1,F
86,-1,-1,1,M
84,-1,-1,1,L
110,-1,-1,1,,
84,-1,-1,1,P
98,-1,-1,1,I
81,-1,-1,1,N
79,-1,-1,1,C
81,-1,-1,1,K
114,-1,-1,1,

104,-1,-1,1,b
110,-1,-1,1,y
93,-1,-1,1,W
118,-1,-1,1,i
117,-1,-1,1,l
122,-1,-1,1,a
113,-1,-1,1,m
86,-1,-1,1,S
120,-1,-1,1,h
101,-1,-1,1,k
125,-1,-1,1,e
120,-1,-1,1,s
105,-1,-1,1,p
118,-1,-1,1,r
124,-1,-1,1,t
123,-1,-1,1,o
119,-1,-1,1,n
113,-1,-1,1,u
115,-1,-1,1,d
107,-1,-1,1,g
109,-1,-1,1,f
111,-1,-1,1,.
108,-1,-1,1,c
108,-1,-1,1,w
71,-1,-1,1,V
74,-1,-1,1,z
87,-1,-1,1,B
102,-1,-1,1,v
77,-1,-1,1,Q
102,-1,-1,1,'
88,-1,-1,1,-
76,-1,-1,1,[
75,-1,-1,1,]
91,-1,-1,1,;
92,-1,-1,1,?
90,-1,-1,1,!
76,-1,-1,1,q
80,-1,-1,1,x
75,-1,-1,1,j
73,-1,-1,1,(
72,-1,-1,1,)
70,-1,-1,1,J
70,-1,-1,1,U
68,-1,-1,1,:
67,-1,-1,1,"
67,-1,-1,1,&
69,-1,-1,1,1
68,64,65,2,"&
69,67,63,3,"&:
71,66,68,4,1"&:
72,61,62,2,JU
73,44,69,5,V1"&:
74,60,70,3,)JU
77,59,71,6,(V1"&:
78,45,72,4,z)JU
82,58,52,2,j]
83,56,51,2,q[
83,48,73,7,Q(V1"&:
87,8,74,5,Yz)JU
88,7,17,2,DC
89,4,57,2,Rx
89,16,18,2,NK
90,10,75,3,Fj]
92,76,77,9,q[Q(V1"&:
93,14,12,2,PL
94,2,6,2,EG
94,11,27,2,MS
95,46,78,6,BYz)JU
95,50,79,3,-DC
96,80,81,4,RxNK
97,55,82,4,!Fj]
97,9,53,2,O;
99,54,83,10,?q[Q(V1"&:
100,22,84,3,WPL
100,85,86,4,EGMS
101,87,88,9,BYz)JU-DC
103,5,89,5,ARxNK
103,90,91,6,!Fj]O;
104,0,15,2,TI
105,1,92,11,H?q[Q(V1"&:
106,93,94,7,WPLEGMS
106,29,95,10,kBYz)JU-DC
107,47,49,2,v'
109,96,97,11,ARxNK!Fj]O;
111,20,98,3,bTI
112,32,99,12,pH?q[Q(V1"&:
112,100,101,17,WPLEGMSkBYz)JU-DC
114,39,102,3,gv'
115,42,43,2,cw
116,40,103,12,fARxNK!Fj]O;
116,21,13,2,y,
117,41,104,4,.bTI
119,105,106,29,pH?q[Q(V1"&:WPLEGMSkBYz)JU-DC
121,26,37,2,mu
121,107,19,4,gv'

122,38,108,3,dcw
123,109,110,14,fARxNK!Fj]O;y,
124,24,111,5,l.bTI
125,33,23,2,ri
126,112,36,30,pH?q[Q(V1"&:WPLEGMSkBYz)JU-DCn
126,28,31,2,hs
127,113,114,6,mugv'

127,115,25,4,dcwa
128,35,116,15,ofARxNK!Fj]O;y,
128,34,117,6,tl.bTI
129,118,30,3,rie
129,120,119,32,hspH?q[Q(V1"&:WPLEGMSkBYz)JU-DCn
130,122,121,10,dcwamugv'

130,124,123,21,tl.bTIofARxNK!Fj]O;y,
131,126,125,35,hspH?q[Q(V1"&:WPLEGMSkBYz)JU-DCnrie
132,128,127,31,tl.bTIofARxNK!Fj]O;y,dcwamugv'

132,3,129,36, hspH?q[Q(V1"&:WPLEGMSkBYz)JU-DCnrie
-1,130,131,67,tl.bTIofARxNK!Fj]O;y,dcwamugv'
 hspH?q[Q(V1"&:WPLEGMSkBYz)JU-DCnrie
